#          |P|               []
   6.25816333e-03   6.44259000e-01
   5.67874587e-03   6.44310000e-01
   5.39665260e-03   6.44274000e-01
   6.77441272e-03   6.44317000e-01
   4.80958526e-03   6.44342000e-01
   4.75626133e-03   6.44342000e-01
   5.55815225e-03   6.44372000e-01
   4.97767798e-03   6.44400000e-01
   5.21154333e-03   6.44293000e-01
   4.85155928e-03   6.44263000e-01
   5.84030552e-03   6.44293000e-01
   4.64960539e-03   6.44431000e-01
   3.51704071e-03   6.44399000e-01
   3.88674179e-03   6.44279000e-01
   1.60099495e-03   6.44349000e-01
   2.35090934e-03   6.44380000e-01
   5.42298785e-03   6.44344000e-01
   4.14017283e-03   6.44315000e-01
   4.18778016e-03   6.44294000e-01
   3.63362546e-03   6.44313000e-01
   4.10535428e-03   6.44406000e-01
   5.07404197e-03   6.44166000e-01
   4.39380727e-03   6.44329000e-01
   3.52668749e-03   6.44359000e-01
   3.58208616e-03   6.44229000e-01
   4.66820675e-03   6.44349000e-01
   4.03138441e-03   6.44317000e-01
   4.05966043e-03   6.44368000e-01
   3.01646793e-03   6.44171000e-01
   5.54016742e-03   6.44283000e-01
   4.41088629e-03   6.44248000e-01
   1.98443174e-03   6.44307000e-01
   3.58088280e-03   6.44161000e-01
   5.64704236e-03   6.44248000e-01
   2.35830311e-03   6.44315000e-01
   3.96451169e-03   6.44262000e-01
   3.33607216e-03   6.44515000e-01
   3.00042553e-03   6.44230000e-01
   6.81692566e-03   6.44422000e-01
   3.89851410e-03   6.44116000e-01
   4.62488214e-03   6.44111000e-01
   2.71145731e-03   6.44173000e-01
   5.56232273e-03   6.44424000e-01
   6.13496590e-03   6.44302000e-01
   3.16014275e-03   6.44317000e-01
   6.80006427e-03   6.44240000e-01
   5.15291321e-03   6.44238000e-01
   1.67988351e-03   6.44566000e-01
   3.57865150e-03   6.44244000e-01
   5.26968939e-03   6.44327000e-01
   2.10149199e-03   6.44251000e-01
   5.32407790e-03   6.44343000e-01
   2.75801819e-03   6.44319000e-01
   3.42651540e-03   6.44230000e-01
   5.77941298e-03   6.44384000e-01
   5.13394973e-03   6.44263000e-01
   4.44601493e-03   6.44329000e-01
   3.94468521e-03   6.44400000e-01
   5.50408488e-03   6.44489000e-01
   5.55988956e-03   6.44209000e-01
   4.94195460e-03   6.44435000e-01
   4.88770270e-03   6.44282000e-01
   5.93052130e-03   6.44359000e-01
   3.78756610e-03   6.44338000e-01
   4.05632427e-03   6.44278000e-01
   4.82787529e-03   6.44369000e-01
   4.71864091e-03   6.44265000e-01
   5.42943611e-03   6.44317000e-01
   5.93588858e-03   6.44270000e-01
   3.72827926e-03   6.44320000e-01
   5.18611187e-03   6.44351000e-01
   6.09634678e-03   6.44462000e-01
   5.78122726e-03   6.44320000e-01
   5.33614626e-03   6.44393000e-01
   5.53815027e-03   6.44326000e-01
   3.83836673e-03   6.44274000e-01
   2.65301392e-03   6.44301000e-01
   4.67233854e-03   6.44293000e-01
   4.78224181e-03   6.44290000e-01
   4.28428824e-03   6.44218000e-01
   4.12179137e-03   6.44428000e-01
   4.68260431e-03   6.44377000e-01
   5.93923195e-03   6.44287000e-01
   4.60806281e-03   6.44292000e-01
   3.83542337e-03   6.44300000e-01
   4.54707296e-03   6.44341000e-01
   1.57444265e-03   6.44268000e-01
   4.58427603e-03   6.44227000e-01
   5.76079960e-03   6.44288000e-01
   5.64451393e-03   6.44232000e-01
   3.33796340e-03   6.44187000e-01
   5.30953186e-03   6.44247000e-01
   4.72055339e-03   6.44406000e-01
   4.45532686e-03   6.44400000e-01
   5.66033844e-03   6.44378000e-01
   4.94415486e-03   6.44148000e-01
   5.41077684e-03   6.44184000e-01
   4.25227766e-03   6.44292000e-01
   5.40284074e-03   6.44441000e-01
   4.18938666e-03   6.44263000e-01
   2.50405433e-03   6.44318000e-01
   4.18476691e-03   6.44201000e-01
   1.37726218e-03   6.44329000e-01
   2.02334938e-03   6.44183000e-01
   3.70118803e-03   6.44343000e-01
   4.05509621e-03   6.44310000e-01
   5.84855695e-03   6.44348000e-01
   4.67029137e-03   6.44333000e-01
   5.59000694e-03   6.44258000e-01
   4.25551177e-03   6.44240000e-01
   3.03793260e-03   6.44280000e-01
   6.07247699e-03   6.44164000e-01
   6.07764215e-03   6.44238000e-01
   4.33205953e-03   6.44439000e-01
   4.81045321e-03   6.44286000e-01
   5.04872664e-03   6.44338000e-01
   3.36279751e-03   6.44400000e-01
   4.98553518e-03   6.44262000e-01
   4.25321169e-03   6.44456000e-01
   5.23092426e-03   6.44371000e-01
   1.65102217e-03   6.44323000e-01
   2.17658373e-03   6.44231000e-01
   8.78400070e-04   6.44206000e-01
   2.63800417e-03   6.44296000e-01
   2.87676294e-03   6.44434000e-01
