#             |P|               []
   1.19296999e-02   5.96642000e-01
   6.07878684e-03   5.97260000e-01
   2.81732771e-02   5.96605000e-01
   1.01926857e-02   5.96719000e-01
   6.09766400e-03   5.97072000e-01
   2.71634367e-03   5.96977000e-01
   1.48653859e-02   5.97058000e-01
   8.43951985e-03   5.96260000e-01
   1.52055462e-02   5.96603000e-01
   2.39509765e-02   5.96773000e-01
   5.73483489e-03   5.96782000e-01
   3.92943398e-03   5.97311000e-01
   1.24238049e-02   5.96994000e-01
   1.07215309e-02   5.97199000e-01
   1.08442713e-02   5.96466000e-01
   1.63473061e-02   5.96459000e-01
   1.14955694e-02   5.96706000e-01
   6.48443706e-03   5.96805000e-01
   4.95507702e-03   5.97132000e-01
   4.64262452e-03   5.97188000e-01
   1.50621764e-02   5.96753000e-01
   8.34104123e-03   5.96719000e-01
   9.53888273e-03   5.96806000e-01
   1.66425868e-02   5.97244000e-01
   9.52745927e-03   5.97482000e-01
   6.76013975e-03   5.96767000e-01
   9.40785541e-03   5.97009000e-01
   5.85256110e-03   5.96539000e-01
   9.63302375e-03   5.97259000e-01
   3.57284950e-03   5.97075000e-01
   1.91859826e-02   5.96610000e-01
   8.98803519e-03   5.97029000e-01
   7.94228824e-03   5.97063000e-01
   9.54953063e-03   5.97122000e-01
   5.33595775e-03   5.97530000e-01
   9.00403857e-03   5.96748000e-01
   1.08973777e-02   5.96980000e-01
   6.46974653e-03   5.96967000e-01
   1.16261578e-02   5.97135000e-01
   2.32707418e-02   5.97316000e-01
   8.20454327e-03   5.96321000e-01
   7.42530226e-03   5.96750000e-01
   3.08351915e-03   5.97740000e-01
   4.76973081e-03   5.96518000e-01
   2.02617029e-02   5.97422000e-01
   5.31138073e-03   5.96750000e-01
   1.94662138e-03   5.97746000e-01
   4.71366089e-03   5.96782000e-01
   8.62288157e-03   5.96797000e-01
   4.83542244e-03   5.97570000e-01
   2.23218715e-02   5.96775000e-01
   5.62606173e-03   5.96448000e-01
   4.62377309e-03   5.96476000e-01
   1.27105664e-02   5.97468000e-01
   5.49654843e-03   5.96814000e-01
   1.44523085e-02   5.97096000e-01
   3.84741173e-03   5.96785000e-01
   5.09028530e-03   5.96935000e-01
   1.15909944e-02   5.96925000e-01
   8.05162862e-03   5.96546000e-01
   7.25095079e-03   5.97071000e-01
   4.06651682e-03   5.96814000e-01
   5.18215391e-03   5.96763000e-01
   2.71524651e-02   5.96823000e-01
   1.92187946e-03   5.96608000e-01
   6.29743532e-03   5.96689000e-01
   1.86963170e-02   5.97362000e-01
   9.02205857e-03   5.96681000e-01
   6.75754606e-03   5.97166000e-01
   1.48855547e-02   5.97225000e-01
   1.16256895e-02   5.97724000e-01
   3.52909400e-02   5.97600000e-01
   5.05191670e-03   5.96675000e-01
   1.84494983e-02   5.96698000e-01
   1.06768246e-02   5.96686000e-01
   1.66214994e-02   5.96624000e-01
   3.93073880e-03   5.97096000e-01
   1.93710897e-02   5.96890000e-01
   4.61733341e-03   5.97190000e-01
   1.50551454e-03   5.96679000e-01
   5.35068551e-03   5.96637000e-01
   7.37409063e-03   5.96961000e-01
   1.97394340e-02   5.97695000e-01
   7.03487971e-03   5.96636000e-01
   3.32746492e-02   5.96639000e-01
   8.31766826e-03   5.96162000e-01
   2.57093202e-03   5.97112000e-01
   1.26700698e-02   5.96710000e-01
   1.09021330e-02   5.97077000e-01
   9.44777771e-03   5.96744000e-01
   6.33003844e-03   5.97098000e-01
   1.29544736e-02   5.97525000e-01
   6.60183030e-03   5.96812000e-01
   1.48925063e-02   5.96814000e-01
   1.57597990e-02   5.96432000e-01
   8.63881759e-03   5.96687000e-01
   4.62337656e-03   5.96354000e-01
   3.14319946e-02   5.96656000e-01
   1.16517235e-02   5.97663000e-01
   8.49458792e-03   5.96708000e-01
   2.49338495e-02   5.97000000e-01
   4.97748250e-03   5.96688000e-01
   9.48381925e-03   5.96633000e-01
   9.16128697e-03   5.97296000e-01
   1.73450954e-02   5.96800000e-01
   1.95615037e-02   5.96919000e-01
   1.77877803e-02   5.96390000e-01
   5.71431416e-03   5.96661000e-01
   1.13066197e-02   5.97073000e-01
   8.35492993e-03   5.96843000e-01
   1.76127320e-03   5.96550000e-01
   1.12058105e-02   5.97095000e-01
   1.25571714e-02   5.97211000e-01
   6.37973942e-03   5.97893000e-01
   7.11210650e-03   5.97457000e-01
   7.03295924e-03   5.97124000e-01
   5.86501110e-03   5.96597000e-01
   9.64765650e-03   5.97307000e-01
   3.07616840e-02   5.96923000e-01
   3.00818910e-03   5.97050000e-01
   1.30523076e-02   5.96862000e-01
   1.05960498e-02   5.97572000e-01
   2.58184387e-03   5.97141000e-01
   1.67600814e-02   5.97280000e-01
   1.06933630e-02   5.97480000e-01
   1.02246026e-02   5.97181000e-01
   2.30153703e-02   5.96569000e-01
   6.80421690e-03   5.97772000e-01
   8.87766363e-03   5.96991000e-01
   1.55974079e-02   5.96704000e-01
   3.54941342e-03   5.96321000e-01
   1.71652123e-02   5.96924000e-01
   2.44320080e-02   5.97356000e-01
   3.66641341e-03   5.96716000e-01
   1.48184183e-02   5.96821000e-01
   1.47807296e-02   5.96761000e-01
   7.23896136e-03   5.97123000e-01
   1.43838615e-02   5.96958000e-01
   2.05756251e-02   5.96579000e-01
   1.72592019e-02   5.97346000e-01
   3.11707179e-03   5.96875000e-01
   4.92567857e-03   5.97270000e-01
   2.90294401e-03   5.96861000e-01
   9.00467422e-03   5.96151000e-01
   1.83016086e-03   5.97565000e-01
   2.13210578e-02   5.96782000e-01
   7.56578337e-03   5.97511000e-01
   1.19115205e-02   5.97281000e-01
   1.75264870e-02   5.96846000e-01
   1.00570420e-02   5.97519000e-01
   1.91415902e-02   5.96922000e-01
   1.12229407e-02   5.95712000e-01
   1.82502164e-02   5.97143000e-01
   1.03781004e-02   5.96171000e-01
   7.25245068e-03   5.96643000e-01
   9.37963527e-03   5.96549000e-01
   3.75464996e-03   5.97451000e-01
   2.57367805e-02   5.97011000e-01
   2.28280030e-03   5.97140000e-01
   2.63175796e-02   5.98098000e-01
   1.14317474e-02   5.96658000e-01
   5.97125149e-03   5.96602000e-01
   4.46526758e-03   5.96939000e-01
   3.49758459e-03   5.97276000e-01
   7.96894424e-03   5.96750000e-01
   7.55201988e-03   5.97089000e-01
   6.97902003e-03   5.97143000e-01
   7.25208244e-03   5.96719000e-01
   7.42424182e-03   5.97364000e-01
   3.91330837e-03   5.96765000e-01
   1.54707971e-02   5.96928000e-01
   9.22092289e-03   5.96673000e-01
   1.12880836e-02   5.97144000e-01
   1.44936332e-02   5.96737000e-01
   1.04135753e-02   5.96689000e-01
   2.29679274e-02   5.97607000e-01
   1.70544665e-02   5.97047000e-01
   9.96081125e-04   5.96652000e-01
   1.73511655e-02   5.97150000e-01
   2.63843374e-02   5.96667000e-01
   6.88066210e-03   5.96889000e-01
   4.37217946e-03   5.96835000e-01
   8.12804280e-03   5.96834000e-01
   1.40683906e-02   5.96763000e-01
   3.87643250e-03   5.96740000e-01
   1.62465621e-02   5.97253000e-01
   1.45754148e-03   5.97012000e-01
   1.23675166e-02   5.97117000e-01
   6.26905948e-03   5.96432000e-01
   1.13634077e-02   5.97135000e-01
   1.69674942e-02   5.97564000e-01
   1.33141228e-02   5.96989000e-01
   7.69296141e-03   5.96725000e-01
   2.47518494e-03   5.97076000e-01
   2.32069183e-03   5.97283000e-01
   1.23761933e-02   5.97218000e-01
   9.75783524e-03   5.97332000e-01
   7.65953667e-03   5.96381000e-01
   7.68537308e-03   5.97531000e-01
   6.73663525e-03   5.95981000e-01
   6.22111373e-03   5.97681000e-01
   3.11572635e-03   5.96249000e-01
   1.50980551e-02   5.96939000e-01
   1.68060115e-02   5.96271000e-01
   9.66515910e-03   5.97723000e-01
   4.46359407e-03   5.97089000e-01
   1.41242460e-02   5.97114000e-01
   6.29901621e-03   5.97419000e-01
   1.18824727e-02   5.97232000e-01
   2.11429381e-02   5.96428000e-01
   6.74817551e-03   5.97180000e-01
   6.46475854e-03   5.96283000e-01
   3.17675975e-02   5.97684000e-01
   4.70040724e-03   5.96750000e-01
   1.57982697e-03   5.96745000e-01
   9.90665665e-03   5.96214000e-01
   1.05075011e-02   5.96217000e-01
   4.31516194e-03   5.96630000e-01
   1.13684337e-02   5.97237000e-01
   4.94222849e-03   5.96495000e-01
   9.80627029e-03   5.96787000e-01
   8.55535389e-03   5.96990000e-01
   2.07541383e-02   5.97293000e-01
   8.94298300e-03   5.97192000e-01
   4.89086590e-03   5.97206000e-01
   1.23238285e-02   5.97088000e-01
   1.77840945e-02   5.97084000e-01
   1.06656303e-02   5.97340000e-01
   8.09313986e-03   5.97331000e-01
   1.09688558e-02   5.96672000e-01
   3.73106646e-03   5.96351000e-01
   2.73082538e-02   5.97538000e-01
   9.21406214e-03   5.97406000e-01
   2.53736847e-02   5.97271000e-01
   3.54055505e-03   5.97197000e-01
   5.77732286e-03   5.97319000e-01
   1.62963399e-02   5.97177000e-01
   1.04675232e-02   5.97262000e-01
   1.54082713e-02   5.96547000e-01
   5.17417962e-03   5.97615000e-01
   5.38812690e-03   5.97079000e-01
   1.87635737e-02   5.97122000e-01
   5.52276629e-03   5.97317000e-01
   1.50016002e-02   5.97200000e-01
   7.15981948e-03   5.97628000e-01
   1.29041574e-02   5.96858000e-01
   1.78044043e-02   5.96736000e-01
   2.60384040e-02   5.96822000e-01
   9.29358592e-03   5.96690000e-01
   4.50368948e-03   5.97113000e-01
   4.46153767e-03   5.96492000e-01
   7.10852005e-03   5.97895000e-01
   8.40371951e-03   5.96222000e-01
   1.51951123e-02   5.96353000e-01
   3.79444531e-03   5.96942000e-01
   7.92285046e-03   5.97059000e-01
   3.27985394e-03   5.96986000e-01
   2.37214786e-02   5.97321000e-01
   2.71175906e-03   5.96338000e-01
   2.34144263e-02   5.97480000e-01
   3.58810201e-02   5.97249000e-01
   2.93967836e-03   5.96929000e-01
   3.36167582e-03   5.96889000e-01
   1.47960926e-02   5.96573000e-01
   4.95514693e-03   5.96310000e-01
   1.10468300e-02   5.96876000e-01
   1.73948835e-02   5.97045000e-01
   8.15334389e-03   5.96782000e-01
